Description,Title
I am using this  phone  since  few days.. Nd no problems. Everything  is good.. Nd camera  quality  is to good....READ MORE,Good quality product
Fantastic mobile phone by sumsung i have ever use Must buy from filpkartREAD MORE,Worth the money
Nice product..good battery lifeREAD MORE,Really Nice
very good product from the flipcartREAD MORE,Really Nice
SuperREAD MORE,Good choice
best mobile at this price compare to othersREAD MORE,Brilliant
GoodREAD MORE,Excellent
Grt price on this gadgetNice productREAD MORE,Fair
Very good productREAD MORE,Terrific purchase
Value for Money and super build quality phone in a nice budget.READ MORE,Awesome Phone
goodREAD MORE,Simply awesome
Good productREAD MORE,Just wow!
Best cellphone price is high  as compare to features but look wise good.READ MORE,Highly recommended
"Samsung J5 is really awesome. I gifted to my friend she really liked it. The touch is really good and is very handy.Though there is a chance of getting slipped from hand as it the back is having a smooth finish, but I ordered a back cover for it too.The camera is really good.The delivery was on time and without any hassleI prefer to buy it again for gifting and recommend other users too to have it.READ MORE","Awesome phone, worth buying"
Its nice mobileREAD MORE,Classy product
Samsung it's brand name you can trust I am happy earlier used galaxy now it's worthy phone for it's price only one thing battery backup needs to improveREAD MORE,Worth every penny
good smartphoneREAD MORE,Terrific
Great phone and great service by FlipkartREAD MORE,Wow
At this price range it is best mobileREAD MORE,Worth the money
GoodREAD MORE,Really Nice
Phone is okREAD MORE,Does the job
Very good phone!! Go for it!!READ MORE,Super Awesome
Original productREAD MORE,Good product
Nice phoneREAD MORE,Mind-blowing purchase
Good ProductREAD MORE,Really Nice
I love this smartphoneREAD MORE,Terrific purchase
good phone except the speaker volumeREAD MORE,Wonderful
Not badREAD MORE,Bad quality
Very good phoneREAD MORE,Classy product
Good performanceREAD MORE,Wonderful
Good mobileREAD MORE,Good choice
Original n on timeREAD MORE,Wonderful
Best bestREAD MORE,Excellent
Good product. ... love itREAD MORE,Pretty good
Good productREAD MORE,Awesome
Good phoneREAD MORE,Highly recommended
J5 6 awesome product built quality and design but charger and mobile both are getting heat while charging .i did not get proper service from  flipkart.READ MORE,Just okay
Its simply superREAD MORE,Super!
Good muchREAD MORE,Best in the market!
Nice phoneREAD MORE,Pretty good
Good productREAD MORE,Terrific
Value For MoneyREAD MORE,Pretty good
Not good performanceREAD MORE,Nice
Excellent phoneREAD MORE,Good choice
delivery & packing by flipkat is good and the product samsung j5 is working properly but inner memory and battery is low compare to other same range brands.READ MORE,Delightful
Very good productREAD MORE,Mind-blowing purchase
bestREAD MORE,Classy product
Awesome product provide flipkartREAD MORE,Pretty good
goodREAD MORE,Mind-blowing purchase
According to Rate Set is okREAD MORE,Really Nice
Product was good and packeging too...READ MORE,Worth every penny
Samsung mobile is using very easy and touch also smooth love itREAD MORE,Mind-blowing purchase
Best online appREAD MORE,Simply awesome
very nice productREAD MORE,good
Awesome product in the price range..READ MORE,Terrific
ExcellentREAD MORE,Worth every penny
Awesome product... with great priceREAD MORE,Just wow!
Nice product in this price....i love it so muchREAD MORE,Mind-blowing purchase
Nice product.Really.I was willing to buy Redmi note 4 for same price but yes I am happy with this product.The one who bought redmi are now facing problem.Camera is awesome and also sound.Moreover the phone has a nice look.READ MORE,Excellent
Good oneREAD MORE,Terrific purchase
Super amold disply superb camera clearity good battry backupREAD MORE,Wonderful
Good phoneREAD MORE,Delightful
Good phone in good price....worth itREAD MORE,Nice
goodREAD MORE,Good choice
Nyc productREAD MORE,Pretty good
Slim & good lookingREAD MORE,Pretty good
Good performace. No hang always free ram . God battery backup and speed..READ MORE,Good quality product
Very good cameraREAD MORE,Classy product
GoodREAD MORE,Must buy!
Awesome Samsung PhoneNice packingREAD MORE,Worth every penny
Good phone on good priceREAD MORE,Samsung j5
Nice phone with reasonable priceREAD MORE,Super!
Nice phoneREAD MORE,Fabulous!
"Bought it for my friend.. It's a good one.. Pros:Beautiful design, easy to handle, Battery backup is good, camera is good, No heating issues, supports OTGREAD MORE",good mobile from Samsung
Good phone for this price range. What u get is:1. Trust of build Quality of Samsung2. A lot of service centres and Quick service NOT like Xiaomi etc3. processor is good with enough RAM for Normal use.You are getting value for Money!!!READ MORE,Nice Phone If You want  build quality and After sale service
good & better at this priceREAD MORE,Nice product
Excellent phone at best price from samsungREAD MORE,Awesome
Like product. Thank you glipkartREAD MORE,Classy product
Good phone from SamsungREAD MORE,Very Good
It is a very good product.......READ MORE,Excellent
It is good mobile with a good brand nameREAD MORE,Value-for-money
It is a good phone in this price compare than other brands.READ MORE,Delightful
It's ok..READ MORE,Just okay
Everthing works good.READ MORE,Phone is good as per samsung's point of view
Good mobile at low cost.READ MORE,Wonderful
"Osome phone with amazing features It has alot of features , amazing camera, battery , touch is also vry smoothREAD MORE",Fabulous!
My father loved it.. handy fastREAD MORE,Wonderful
GoodREAD MORE,Nic
Nice mobile n its specifications are upto markREAD MORE,Very Good
Very good mobileREAD MORE,Simply awesome
Good product but it is heating when we using online applicationsREAD MORE,Worth the money
Working nicelyREAD MORE,Nice
Best mobile in this priceREAD MORE,Worth the money
NiceREAD MORE,Hated it!
OkREAD MORE,Very poor
unbeatable price by flipkart. no problems so far..READ MORE,Simply awesome
nice mobailREAD MORE,verry good
Good phone at pocket friendly rateREAD MORE,Must buy!
Flipkart is best qualityREAD MORE,Good quality product
Very nice phone good performREAD MORE,Good choice
My father loved it.READ MORE,Highly recommended
Excellent phone.. Good battery life and nice design .. Go for itREAD MORE,Awesome
fineREAD MORE,Bad quality
A very good product at a resonable price. Samsung always delivers the quality.READ MORE,Worth the money
Awesome product..great delivery..good battery backupREAD MORE,Superb
"Wonderful fone. Nice cam for selfie,  wider selfie feature like panaromic view, sound quality is good.  Light weighted.  Slow ring tones.READ MORE",Terrific
The poduct as in good quality n was delivered on time....READ MORE,Delightful
Awsome phone.. Loved It...READ MORE,Mind-blowing purchase
Nice phone..READ MORE,Mind-blowing purchase
Good phone.  Everything is okay.  Camera quality is very good.  Excellent performance.READ MORE,Highly recommended
Worth its priceREAD MORE,Terrific
Smooth phone & stylish lookREAD MORE,Terrific purchase
Overall product quality is goodREAD MORE,good product
Satisfactory performanceREAD MORE,Wonderful
"After 2 months of using this phone.....a great  mobile in this price category better than mi,Asus n etc.READ MORE",Perfect product!
Very Nice PhoneREAD MORE,Awesome
Good PhoneREAD MORE,Good quality product
Good productREAD MORE,Mobile
It is good but not amazingREAD MORE,Just okay
goodREAD MORE,Perfect product!
Superb phoneREAD MORE,Brilliant
Branded phone with Worth priceREAD MORE,Great product
One of the best and reasonable phone in this market place.READ MORE,ossum phone
Good and quality products from Samsung in FlipkartREAD MORE,Highly recommended
Overall good display best but speaker volume is less than other productsREAD MORE,Good
NYC phnREAD MORE,Great product
It's awesome....best mobile ever.....READ MORE,Must buy!
Good phone with best priceREAD MORE,Fabulous!
This Phone is HittingREAD MORE,Hitting
Nice phone i love itREAD MORE,Hated it!
Value for Money...Nice FeaturesREAD MORE,Awesome Mobile Phone
As good as moto g3READ MORE,Simply awesome
"Good, bt not likedREAD MORE",Not good
Very nic phon thankx to flipkartREAD MORE,Perfect product!
Excellent...Very good mobile.. the performance is so coolREAD MORE,Mind-blowing purchase
NiceREAD MORE,Good quality product
Good quality camera performance is good Battery also goodREAD MORE,Perfect product!
Very good and worth of moneyREAD MORE,Very good
Very Good productREAD MORE,Simply awesome
Awesome phone..muat buy...aturdy and strong..READ MORE,Highly recommended
Nice mobileREAD MORE,Brilliant
goodREAD MORE,Does the job
Very good and budget hand set from Samsung.READ MORE,Brilliant
good productREAD MORE,Classy product
Awesome Colour is too goodLoved itREAD MORE,Must buy!
It's good performance. And gd quality.gd look.READ MORE,Pretty good
front and back camera is amazingREAD MORE,best phone from samsung
